id,season,team1,team2,toss_winner,toss_decision,winner,toss_win_match_win,target
302,2011,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
303,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
304,2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
305,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
306,2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,0,1
307,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,1,1
308,2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
309,2012,Kolkata Knight Riders,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
310,2012,Pune Warriors,Mumbai Indians,Mumbai Indians,field,Pune Warriors,0,1
311,2012,Rajasthan Royals,Punjab Kings,Kings XI Punjab,field,Rajasthan Royals,0,1
312,2012,Royal Challengers Bangalore,Delhi Capitals,Delhi Daredevils,field,Royal Challengers Bangalore,0,1
313,2012,Chennai Super Kings,Sunrisers Hyderabad,Deccan Chargers,field,Chennai Super Kings,0,1
314,2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,0,1
315,2012,Pune Warriors,Punjab Kings,Pune Warriors,bat,Pune Warriors,1,1
316,2012,Sunrisers Hyderabad,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians,0,0
317,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,1
318,2012,Chennai Super Kings,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
319,2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,0,1
320,2012,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,0,0
321,2012,Pune Warriors,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
322,2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,0,0
323,2012,Sunrisers Hyderabad,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,0,0
324,2012,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Pune Warriors,0,0
325,2012,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,0,1
326,2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,1,1
327,2012,Mumbai Indians,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
328,2012,Sunrisers Hyderabad,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,0,0
329,2012,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,Royal Challengers Bangalore,0,0
330,2012,Punjab Kings,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,0,0
331,2012,Sunrisers Hyderabad,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,0,0
332,2012,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,0,1
333,2012,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
334,2012,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,0
335,2012,Pune Warriors,Delhi Capitals,Delhi Daredevils,field,Pune Warriors,0,1
336,2012,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Punjab Kings,0,0
337,2012,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
338,2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,0,1
339,2012,Pune Warriors,Delhi Capitals,Pune Warriors,bat,Delhi Capitals,0,0
340,2012,Punjab Kings,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,0,0
341,2012,Sunrisers Hyderabad,Pune Warriors,Deccan Chargers,bat,Sunrisers Hyderabad,0,1
342,2012,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,0,1
343,2012,Punjab Kings,Chennai Super Kings,Kings XI Punjab,bat,Punjab Kings,0,1
344,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,1,1
345,2012,Delhi Capitals,Rajasthan Royals,Delhi Daredevils,bat,Delhi Capitals,0,1
346,2012,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
347,2012,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,0,0
348,2012,Sunrisers Hyderabad,Pune Warriors,Deccan Chargers,bat,Sunrisers Hyderabad,0,1
349,2012,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,0,0
350,2012,Royal Challengers Bangalore,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
351,2012,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,1,1
352,2012,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,1,1
353,2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,1,1
354,2012,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Rajasthan Royals,1,1
355,2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
356,2012,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
357,2012,Delhi Capitals,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,0,0
358,2012,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,0,0
359,2012,Punjab Kings,Sunrisers Hyderabad,Deccan Chargers,field,Punjab Kings,0,1
360,2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
361,2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
362,2012,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,0,1
363,2012,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,1,1
364,2012,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
365,2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Rajasthan Royals,1,1
366,2012,Sunrisers Hyderabad,Punjab Kings,Deccan Chargers,bat,Punjab Kings,0,0
367,2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,1,0
368,2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
369,2012,Punjab Kings,Delhi Capitals,Kings XI Punjab,bat,Delhi Capitals,0,0
370,2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,0,1
371,2012,Chennai Super Kings,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
372,2012,Royal Challengers Bangalore,Delhi Capitals,Delhi Daredevils,field,Royal Challengers Bangalore,0,1
373,2012,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,0,0
374,2012,Punjab Kings,Delhi Capitals,Delhi Daredevils,field,Delhi Capitals,0,0
375,2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,1,1
376,2012,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,1
377,2012,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,0,0
378,2012,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,1,1
379,2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,0,1
380,2012,Chennai Super Kings,Delhi Capitals,Delhi Daredevils,field,Chennai Super Kings,0,1
381,2012,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,0,0
382,2013,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0
383,2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,0,1
384,2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,0,1
385,2013,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,1,1
386,2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,1,1
387,2013,Pune Warriors,Punjab Kings,Pune Warriors,bat,Punjab Kings,0,0
388,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,0,0
389,2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,0,1
390,2013,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,1,1
391,2013,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
392,2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
393,2013,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Pune Warriors,0,0
394,2013,Delhi Capitals,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,0,0
395,2013,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,1,1
396,2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,1,0
397,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,1,1
398,2013,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,1,0
399,2013,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Pune Warriors,1,1
400,2013,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,0,1
401,2013,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
