,precision,recall,f1-score,support
0,0.8571428571428571,0.8947368421052632,0.8755364806866953,114.0
1,0.6363636363636364,0.5526315789473685,0.5915492957746479,38.0
accuracy,0.8092105263157895,0.8092105263157895,0.8092105263157895,0.8092105263157895
macro avg,0.7467532467532467,0.7236842105263158,0.7335428882306716,152.0
weighted avg,0.8019480519480519,0.8092105263157895,0.8045396844586835,152.0
