batsman,total_runs,balls_faced,fours,sixes,matches_played,strike_rate,avg_runs_per_match,cluster,player_type
MV Boucher,394,318,32,13,23,123.9,17.13,2,Consistent Scorers
Mandeep Singh,1112,938,134,18,58,118.55,19.17,2,Consistent Scorers
NLTC Perera,424,326,23,26,30,130.06,14.13,2,Consistent Scorers
NV Ojha,1553,1356,121,79,93,114.53,16.7,3,Finishers
OA Shah,506,405,34,23,22,124.94,23.0,2,Consistent Scorers
P Kumar,340,323,22,17,57,105.26,5.96,0,Power Hitters
P Negi,353,284,26,16,29,124.3,12.17,2,Consistent Scorers
PA Patel,2322,2060,297,35,116,112.72,20.02,3,Finishers
PC Valthaty,505,432,61,20,23,116.9,21.96,2,Consistent Scorers
PP Chawla,515,467,49,15,65,110.28,7.92,0,Power Hitters
Q de Kock,726,566,90,21,26,128.27,27.92,3,Finishers
R Ashwin,231,246,22,2,36,93.9,6.42,0,Power Hitters
R Bhatia,342,290,24,13,47,117.93,7.28,0,Power Hitters
R Dravid,2174,1918,269,28,82,113.35,26.51,3,Finishers
R Sathish,270,236,22,6,24,114.41,11.25,0,Power Hitters
R Vinay Kumar,304,285,20,9,41,106.67,7.41,0,Power Hitters
RA Jadeja,1732,1458,125,57,108,118.79,16.04,3,Finishers
RG Sharma,4207,3274,354,173,153,128.5,27.5,1,Anchors
RJ Harris,117,112,6,3,21,104.46,5.57,0,Power Hitters
RN ten Doeschate,326,238,26,15,21,136.97,15.52,2,Consistent Scorers
RP Singh,52,78,2,1,28,66.67,1.86,0,Power Hitters
RR Pant,564,381,47,30,24,148.03,23.5,2,Consistent Scorers
RS Bopara,531,468,39,16,22,113.46,24.14,3,Finishers
RV Uthappa,3778,2960,377,125,143,127.64,26.42,1,Anchors
S Badrinath,1441,1245,154,28,65,115.74,22.17,3,Finishers
S Dhawan,3561,3005,401,71,126,118.5,28.26,1,Anchors
S Sohal,368,311,34,18,20,118.33,18.4,2,Consistent Scorers
SA Yadav,608,479,54,21,42,126.93,14.48,2,Consistent Scorers
SC Ganguly,1349,1326,137,42,56,101.73,24.09,3,Finishers
SE Marsh,2489,1913,269,78,69,130.11,36.07,1,Anchors
SK Raina,4548,3369,402,174,157,135.0,28.97,1,Anchors
SK Warne,198,219,14,6,27,90.41,7.33,0,Power Hitters
SL Malinga,88,103,6,5,20,85.44,4.4,0,Power Hitters
SP Narine,271,193,36,12,30,140.41,9.03,2,Consistent Scorers
SPD Smith,1713,1333,151,45,62,128.51,27.63,3,Finishers
SR Tendulkar,2333,2043,296,29,78,114.19,29.91,3,Finishers
SR Watson,2628,1949,258,122,98,134.84,26.82,1,Anchors
SS Iyer,807,655,79,32,32,123.21,25.22,3,Finishers
SS Tiwary,1276,1111,93,45,64,114.85,19.94,3,Finishers
ST Jayasuriya,768,573,84,39,30,134.03,25.6,3,Finishers
STR Binny,766,619,59,29,56,123.75,13.68,2,Consistent Scorers
SV Samson,1426,1165,112,57,62,122.4,23.0,3,Finishers
Shakib Al Hasan,500,401,44,15,32,124.69,15.62,2,Consistent Scorers
TL Suman,676,587,55,26,39,115.16,17.33,2,Consistent Scorers
TM Dilshan,1153,1047,140,24,50,110.12,23.06,3,Finishers
UBT Chand,300,314,32,9,20,95.54,15.0,0,Power Hitters
UT Yadav,94,95,8,3,23,98.95,4.09,0,Power Hitters
V Kohli,4423,3494,384,160,141,126.59,31.37,1,Anchors
V Sehwag,2728,1833,334,106,104,148.83,26.23,1,Anchors
VVS Laxman,282,271,33,5,20,104.06,14.1,0,Power Hitters
WP Saha,1557,1219,130,57,78,127.73,19.96,3,Finishers
Y Nagar,285,271,20,9,20,105.17,14.25,0,Power Hitters
Y Venugopal Rao,985,865,77,37,52,113.87,18.94,3,Finishers
YK Pathan,2922,2076,240,149,133,140.75,21.97,1,Anchors
Yuvraj Singh,2591,2050,205,141,116,126.39,22.34,1,Anchors
Z Khan,117,141,11,2,27,82.98,4.33,0,Power Hitters
